date,tavg,tmin,tmax,prcp,temp_range,is_rainy,is_hot_day
2024-12-12,13.1,10.6,15.6,15.7,5.0,1,0
2024-12-13,13.7,11.7,15.6,3.0,3.9000000000000004,1,0
2024-12-14,12.4,7.2,15.0,21.6,7.8,1,0
2024-12-15,9.6,5.0,13.3,0.0,8.3,0,0
2024-12-16,10.0,6.1,12.8,9.4,6.700000000000001,1,0
2024-12-17,11.1,6.7,14.4,0.0,7.7,0,0
2024-12-18,9.5,4.4,16.1,0.0,11.700000000000001,0,0
2024-12-19,10.7,5.6,16.1,0.0,10.500000000000002,0,0
2024-12-20,10.3,5.6,14.4,0.0,8.8,0,0
2024-12-21,13.3,8.9,16.7,0.0,7.799999999999999,0,0
2024-12-22,14.5,12.8,17.8,2.8,5.0,1,0
2024-12-23,15.8,13.3,18.3,0.3,5.0,1,0
2024-12-24,13.6,7.8,16.7,8.9,8.899999999999999,1,0
2024-12-25,9.9,6.1,12.2,0.0,6.1,0,0
2024-12-26,13.3,10.6,16.7,4.3,6.1,1,0
2024-12-27,14.9,12.8,17.2,8.1,4.399999999999999,1,0
2024-12-28,15.2,13.3,17.8,0.5,4.5,1,0
2024-12-29,14.8,8.9,17.2,4.1,8.299999999999999,1,0
2024-12-30,10.8,6.1,15.6,0.0,9.5,0,0
2024-12-31,9.6,3.9,14.4,0.0,10.5,0,0
2025-01-01,9.0,4.4,12.8,0.0,8.4,0,0
2025-01-02,11.6,6.7,15.6,0.0,8.899999999999999,0,0
2025-01-03,12.1,8.9,16.1,3.3,7.200000000000001,1,0
2025-01-04,10.2,5.6,13.9,0.0,8.3,0,0
2025-01-05,10.4,6.1,15.0,0.0,8.9,0,0
2025-01-06,10.5,6.7,14.4,0.0,7.7,0,0
2025-01-07,15.8,7.2,21.1,0.0,13.900000000000002,0,0
2025-01-08,14.6,7.8,18.3,0.0,10.5,0,0
2025-01-09,12.8,5.6,20.0,0.0,14.4,0,0
2025-01-10,13.7,7.2,19.4,0.0,12.2,0,0
2025-01-11,14.9,6.1,21.7,0.0,15.6,0,0
2025-01-12,13.0,6.7,19.4,0.0,12.7,0,0
2025-01-13,12.3,6.1,18.3,0.0,12.200000000000001,0,0
2025-01-14,9.3,3.3,16.1,0.0,12.8,0,0
2025-01-15,10.0,3.3,17.2,0.0,13.899999999999999,0,0
2025-01-16,9.8,3.9,17.8,0.0,13.9,0,0
2025-01-17,9.6,6.1,14.4,0.0,8.3,0,0
2025-01-18,9.6,5.6,13.9,0.0,8.3,0,0
2025-01-19,8.6,4.4,12.2,0.0,7.799999999999999,0,0
2025-01-20,11.3,3.9,18.9,0.0,14.999999999999998,0,0
2025-01-21,9.1,1.7,16.1,0.0,14.400000000000002,0,0
2025-01-22,10.0,2.2,17.8,0.0,15.600000000000001,0,0
2025-01-23,12.3,4.4,18.9,0.0,14.499999999999998,0,0
2025-01-24,10.0,3.9,16.1,0.0,12.200000000000001,0,0
2025-01-25,10.9,7.2,14.4,0.3,7.2,1,0
2025-01-26,10.4,4.4,15.6,0.0,11.2,0,0
2025-01-27,8.5,1.1,15.6,0.0,14.5,0,0
2025-01-28,9.0,2.2,15.0,0.0,12.8,0,0
2025-01-29,12.1,8.3,20.6,0.0,12.3,0,0
2025-01-30,11.9,7.2,19.4,0.0,12.2,0,0
2025-01-31,10.3,7.8,15.6,2.5,7.8,1,0
2025-02-01,15.1,12.2,18.9,6.4,6.699999999999999,1,0
2025-02-02,16.2,14.4,18.3,0.0,3.9000000000000004,0,0
